time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037733.353741,35.45173891,139.63639955,42.618714,nan,0
1726037733.362329,35.45173875,139.63639990,42.618522,nan,0
1726037733.372422,35.45173859,139.63640025,42.618328,nan,0
1726037733.382175,35.45173844,139.63640060,42.618129,nan,0
1726037733.392016,35.45173828,139.63640095,42.617931,nan,0
1726037733.402270,35.45173812,139.63640131,42.617740,nan,0
1726037733.413850,35.45173797,139.63640166,42.617562,nan,0
1726037733.423701,35.45173781,139.63640202,42.617394,nan,0
1726037733.433486,35.45173765,139.63640237,42.617227,nan,0
1726037733.443702,35.45173749,139.63640273,42.617055,nan,0
1726037733.453876,35.45173733,139.63640309,42.616878,nan,0
1726037733.462784,35.45173717,139.63640344,42.616706,nan,0
1726037733.472171,35.45173701,139.63640380,42.616541,nan,0
1726037733.481990,35.45173685,139.63640416,42.616375,nan,0
1726037733.492342,35.45173669,139.63640452,42.616196,nan,0
1726037733.502557,35.45173653,139.63640489,42.616005,nan,0
1726037733.514231,35.45173637,139.63640525,42.615804,nan,0
1726037733.525060,35.45173621,139.63640561,42.615583,nan,0
1726037733.536601,35.45173600,139.63640592,42.632894,nan,0
1726037733.543473,35.45173584,139.63640628,42.632625,nan,0
1726037733.553818,35.45173568,139.63640665,42.632336,nan,0
1726037733.562121,35.45173552,139.63640702,42.632034,nan,0
1726037733.572363,35.45173536,139.63640738,42.631723,nan,0
1726037733.582121,35.45173520,139.63640775,42.631398,nan,0
1726037733.591945,35.45173503,139.63640812,42.631055,nan,0
1726037733.602155,35.45173487,139.63640849,42.630698,nan,0
1726037733.613841,35.45173471,139.63640886,42.630337,nan,0
1726037733.623693,35.45173454,139.63640923,42.629974,nan,0
1726037733.633814,35.45173438,139.63640960,42.629608,nan,0
1726037733.643455,35.45173422,139.63640997,42.629236,nan,0
1726037733.653651,35.45173405,139.63641035,42.628860,nan,0
1726037733.662563,35.45173389,139.63641072,42.628478,nan,0
1726037733.672139,35.45173372,139.63641110,42.628092,nan,0
1726037733.682351,35.45173356,139.63641147,42.627707,nan,0
1726037733.691729,35.45173339,139.63641185,42.627331,nan,0
1726037733.702409,35.45173323,139.63641222,42.626966,nan,0
1726037733.713654,35.45173306,139.63641260,42.626604,nan,0
1726037733.723910,35.45173289,139.63641298,42.626237,nan,0
1726037733.733919,35.45173273,139.63641335,42.625848,nan,0
1726037733.743479,35.45173256,139.63641373,42.625432,nan,0
1726037733.753686,35.45173239,139.63641411,42.625004,nan,0
1726037733.762290,35.45173222,139.63641449,42.624568,nan,0
1726037733.772410,35.45173205,139.63641487,42.624132,nan,0
1726037733.782112,35.45173189,139.63641525,42.623703,nan,0
1726037733.792425,35.45173172,139.63641563,42.623278,nan,0
1726037733.801843,35.45173155,139.63641601,42.622843,nan,0
1726037733.813951,35.45173138,139.63641639,42.622407,nan,0
1726037733.823930,35.45173121,139.63641678,42.621972,nan,0
1726037733.833659,35.45173104,139.63641716,42.621536,nan,0
1726037733.843900,35.45173087,139.63641754,42.621101,nan,0
1726037733.853276,35.45173070,139.63641793,42.620664,nan,0
1726037733.862356,35.45173053,139.63641831,42.620217,nan,0
1726037733.872166,35.45173036,139.63641869,42.619758,nan,0
1726037733.882448,35.45173019,139.63641908,42.619282,nan,0
1726037733.892409,35.45173002,139.63641946,42.618773,nan,0
1726037733.901766,35.45172984,139.63641985,42.618237,nan,0
1726037733.913955,35.45172967,139.63642023,42.617684,nan,0
1726037733.923768,35.45172950,139.63642062,42.617109,nan,0
1726037733.933943,35.45172933,139.63642100,42.616508,nan,0
1726037733.943781,35.45172915,139.63642139,42.615887,nan,0
1726037733.953471,35.45172898,139.63642178,42.615252,nan,0
1726037733.962235,35.45172881,139.63642216,42.614604,nan,0
1726037733.972356,35.45172863,139.63642255,42.613952,nan,0
1726037733.982352,35.45172846,139.63642293,42.613299,nan,0
1726037733.992199,35.45172829,139.63642332,42.612649,nan,0
1726037734.002382,35.45172811,139.63642371,42.612016,nan,0
1726037734.014466,35.45172794,139.63642409,42.611411,nan,0
1726037734.023863,35.45172776,139.63642448,42.610822,nan,0
1726037734.033733,35.45172759,139.63642487,42.610230,nan,0
1726037734.046947,35.45172753,139.63642600,42.617765,nan,0
1726037734.053581,35.45172735,139.63642639,42.617191,nan,0
1726037734.062351,35.45172718,139.63642677,42.616645,nan,0
1726037734.072341,35.45172701,139.63642716,42.616127,nan,0
1726037734.082161,35.45172683,139.63642756,42.615624,nan,0
1726037734.092388,35.45172666,139.63642795,42.615132,nan,0
1726037734.102203,35.45172649,139.63642834,42.614663,nan,0
1726037734.113410,35.45172631,139.63642873,42.614217,nan,0
1726037734.123515,35.45172614,139.63642912,42.613785,nan,0
1726037734.133760,35.45172597,139.63642951,42.613370,nan,0
1726037734.143544,35.45172579,139.63642991,42.612980,nan,0
1726037734.153736,35.45172562,139.63643030,42.612609,nan,0
1726037734.162011,35.45172544,139.63643069,42.612241,nan,0
1726037734.172287,35.45172527,139.63643108,42.611865,nan,0
1726037734.182419,35.45172510,139.63643148,42.611479,nan,0
1726037734.192230,35.45172492,139.63643187,42.611091,nan,0
1726037734.202331,35.45172475,139.63643227,42.610710,nan,0
1726037734.213561,35.45172458,139.63643266,42.610337,nan,0
1726037734.223387,35.45172441,139.63643305,42.609963,nan,0
1726037734.233527,35.45172423,139.63643345,42.609592,nan,0
