fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,sig-Intent_F,sig-Intent_L,sig-DWB_0,sig-DWB_1,sig-RWB_0,sig-RWB_1,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,sig-CEWB_1,sig-ENLI_1,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,data-HALF_EXLI_1-second_stage,data-HALF_EXLI_1-required_num_sequential_hits,data-HALF_EXLI_1-registered_num_sequential_hits,sig-FULL_EXLI_1,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,sig-RIF_0,sig-RIF_1
1729486472.714038,IntersectionApproaching,1729486472.597547,1729486472.674151,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512332,13.289817,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.747592,IntersectionApproaching,1729486472.597547,1729486472.674151,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512332,13.289817,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.780926,IntersectionApproaching,1729486472.669071,1729486472.739336,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512238,13.289728,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.814173,IntersectionApproaching,1729486472.669071,1729486472.739336,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512238,13.289728,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.847572,IntersectionApproaching,1729486472.733226,1729486472.805231,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512165,13.289651,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.880956,IntersectionApproaching,1729486472.733226,1729486472.805231,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512165,13.289651,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.914336,IntersectionApproaching,1729486472.798517,1729486472.805231,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512165,13.289651,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.947874,IntersectionApproaching,1729486472.798517,1729486472.805231,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512165,13.289651,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.981171,IntersectionApproaching,1729486472.798517,1729486472.805231,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512165,13.289651,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.014581,IntersectionApproaching,1729486472.798517,1729486472.964215,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512060,13.289544,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.048017,IntersectionApproaching,1729486472.798517,1729486472.964215,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512060,13.289544,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.081428,IntersectionApproaching,1729486472.867321,1729486473.022460,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512020,13.289511,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.114856,IntersectionApproaching,1729486472.867321,1729486473.022460,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512020,13.289511,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.148335,IntersectionApproaching,1729486472.964215,1729486473.072629,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511988,13.289478,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.181586,IntersectionApproaching,1729486473.022460,1729486473.072629,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511988,13.289478,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.214895,IntersectionApproaching,1729486473.022460,1729486473.140106,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511971,13.289459,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.248326,IntersectionApproaching,1729486473.022460,1729486473.140106,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511971,13.289459,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.281739,IntersectionApproaching,1729486473.072629,1729486473.203914,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511957,13.289440,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.315084,IntersectionApproaching,1729486473.140106,1729486473.274413,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511942,13.289428,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.348498,IntersectionApproaching,1729486473.140106,1729486473.274413,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511942,13.289428,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.381966,IntersectionApproaching,1729486473.203914,1729486473.340265,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511925,13.289414,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.415251,IntersectionApproaching,1729486473.203914,1729486473.340265,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511925,13.289414,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.448653,IntersectionApproaching,1729486473.334452,1729486473.404613,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511918,13.289410,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.482100,IntersectionApproaching,1729486473.334452,1729486473.404613,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511918,13.289410,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.515574,IntersectionApproaching,1729486473.398036,1729486473.471666,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511913,13.289400,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.548996,IntersectionApproaching,1729486473.398036,1729486473.471666,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511913,13.289400,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486473.582274,IntersectionApproaching,1729486473.465826,1729486473.471666,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.511913,13.289400,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
